"STATION","NAME","DATE","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00190120","AMHERST, MA US","2000-06-26",,"0.31","0.0","0.0","87","65","70"
"USC00190120","AMHERST, MA US","2000-06-27",,"0.35","0.0","0.0","84","70","74"
"USC00190120","AMHERST, MA US","2000-06-28",,"0.11","0.0","0.0","84","56","60"
"USC00190120","AMHERST, MA US","2000-06-29",,"0.01","0.0","0.0","82","59","63"
"USC00190120","AMHERST, MA US","2000-06-30",,"0.23","0.0","0.0","78","59","62"
"USC00190120","AMHERST, MA US","2000-07-01",,"0.00","0.0","0.0","78","51","58"
"USC00190120","AMHERST, MA US","2000-07-02",,"0.00","0.0","0.0","84","55","61"
"USC00190120","AMHERST, MA US","2000-07-03",,"0.00","0.0","0.0","86","60","66"
"USC00190120","AMHERST, MA US","2000-07-04",,"0.62","0.0","0.0","82","62","68"
"USC00190120","AMHERST, MA US","2000-07-05",,"0.10","0.0","0.0","83","58","67"
"USC00190120","AMHERST, MA US","2000-07-06",,"0.00","0.0","0.0","81","49","57"
"USC00190120","AMHERST, MA US","2000-07-07",,"0.00","0.0","0.0","75","51","58"
"USC00190120","AMHERST, MA US","2000-07-08",,"0.00","0.0","0.0","75","46","61"
"USC00190120","AMHERST, MA US","2000-07-09",,"0.00","0.0","0.0","77","55","59"
"USC00190120","AMHERST, MA US","2000-07-10",,"0.05","0.0","0.0","77","58","70"
"USC00190120","AMHERST, MA US","2000-07-11",,"0.00","0.0","0.0","85","53","60"
"USC00190120","AMHERST, MA US","2000-07-12",,"0.00","0.0","0.0","80","51","59"
"USC00190120","AMHERST, MA US","2000-07-13",,"0.00","0.0","0.0","84","54","58"
"USC00190120","AMHERST, MA US","2000-07-14",,"0.00","0.0","0.0","85","57","67"
"USC00190120","AMHERST, MA US","2000-07-15",,"0.17","0.0","0.0","82","66","70"
"USC00190120","AMHERST, MA US","2000-07-16",,"2.85","0.0","0.0","75","65","68"
"USC00190120","AMHERST, MA US","2000-07-17",,"0.80","0.0","0.0","83","65","66"
"USC00190120","AMHERST, MA US","2000-07-18",,"0.01","0.0","0.0","80","65","70"
"USC00190120","AMHERST, MA US","2000-07-19",,"0.06","0.0","0.0","85","56","60"
"USC00190120","AMHERST, MA US","2000-07-20",,"0.00","0.0","0.0","72","54","58"
"USC00190120","AMHERST, MA US","2000-07-21",,"0.00","0.0","0.0","77","50","54"
"USC00190120","AMHERST, MA US","2000-07-22",,"0.34","0.0","0.0","81","53","64"
"USC00190120","AMHERST, MA US","2000-07-23",,"0.00","0.0","0.0","78","51","56"
"USC00190120","AMHERST, MA US","2000-07-24",,"0.00","0.0","0.0","79","55","59"
"USC00190120","AMHERST, MA US","2000-07-25",,"0.00","0.0","0.0","80","57","63"
"USC00190120","AMHERST, MA US","2000-07-26",,"0.00","0.0","0.0","78","63","65"
"USC00190120","AMHERST, MA US","2000-07-27",,"1.20","0.0","0.0","69","61","62"
"USC00190120","AMHERST, MA US","2000-07-28",,"0.20","0.0","0.0","67","60","63"
"USC00190120","AMHERST, MA US","2000-07-29",,"0.00","0.0","0.0","78","62","63"
"USC00190120","AMHERST, MA US","2000-07-30",,"0.00","0.0","0.0","75","65","68"
"USC00190120","AMHERST, MA US","2000-07-31",,"0.48","0.0","0.0","72","65","65"
"USC00190120","AMHERST, MA US","2000-08-01",,"0.15","0.0","0.0","68","62","63"
"USC00190120","AMHERST, MA US","2000-08-02",,"0.02","0.0","0.0","72","62","66"
"USC00190120","AMHERST, MA US","2000-08-03",,"0.02","0.0","0.0","63","65","74"
